# First Pass Simulation (Up to date)
# 1833 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (lb),Propellant mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (K),Air pressure (psi),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,4.3956,0,4.3956,0,0,0,0,0,0,28.61,-80.6,0.99852,90,0,0,0,8.0503,2.4198,25.955,0.065141,NaN,42.253,NaN,0.0063498,263508,193.33,0,1.3261,0,0.96254,0.24352,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0010491
0.01,0.0070767,1.4156,4.3984,1.4156,4.3984,0,0,0,0,0,0,28.61,-80.6,0.99852,78.558,0,0,0,8.0495,2.419,25.953,0.065139,NaN,42.253,NaN,0.0063901,265179,193.24,1.3747e-4,1.3247,0.023406,0.96115,0.24352,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6334e-6,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0012426
0.02,0.02831,2.8311,4.3971,2.8311,4.3971,0,0,0,0,0,0,28.61,-80.6,0.99852,67.684,0,0,0,8.0479,2.4174,25.951,0.065134,NaN,42.252,NaN,0.0066763,277059,193.16,9.6534e-4,1.3151,0.15057,0.9516,0.24352,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1266e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0013698
0.03,0.063695,4.2461,4.3958,4.2461,4.3958,0,0,0,0,0,0,28.61,-80.6,0.99852,58.021,0,0,0,8.0464,2.4159,25.948,0.065129,NaN,42.252,NaN,0.0071791,297922,193.08,0.002828,1.2996,0.38147,0.93609,0.24352,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6897e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0014916
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.11323,5.6606,4.3944,5.6606,4.3944,0,0,0,0,0,0,28.61,-80.6,0.99852,49.822,0,0,0,8.0448,2.4143,25.946,0.065124,NaN,42.251,NaN,0.0078567,326040,192.99,0.0057895,1.2809,0.65207,0.91734,0.24353,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2526e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0017418
0.05,0.17691,7.0748,4.393,7.0748,4.393,0,0,0,0,0,0,28.61,-80.6,0.99852,43.041,0,0,0,8.0432,2.4127,25.943,0.065119,NaN,42.251,NaN,0.008668,359708,192.91,0.0097629,1.2611,0.90339,0.89754,0.24353,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8154e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.001952
0.06,0.25472,8.4885,4.3916,8.4885,4.3916,0,0,0,0,0,0,28.61,-80.6,0.99852,37.777,0,0,0,8.0417,2.4112,25.94,0.065114,NaN,42.251,NaN,0.0096166,399074,192.83,0.014564,1.2409,1.0948,0.87731,0.24353,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3779e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0020898
0.07,0.34667,9.9017,4.3902,9.9017,4.3902,0,0,0,0,0,0,28.61,-80.6,0.99852,33.489,0,0,0,8.0401,2.4096,25.938,0.06511,NaN,42.25,NaN,0.010631,441179,192.74,0.020099,1.222,1.2363,0.85842,0.24353,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9403e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0022822
0.08,0.45275,11.314,4.3887,11.314,4.3887,0,0,0,0,0,0,28.61,-80.6,0.99852,29.964,0,0,0,8.0385,2.408,25.935,0.065105,NaN,42.25,NaN,0.011695,485304,192.66,0.026264,1.2046,1.3351,0.84102,0.24353,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5025e-5,2,3.1416,90,0,NaN,288.15,14.696,1116.8,0.01,0.0024028
